最近はまっていることなどはありますか？	朝ドラでしょうか。
美味しそうです。私はインスタント麺ですかね	何か趣味や最近気になっていることはありますか？
何か趣味や最近気になっていることはありますか？	趣味は最近はタイピングですね
趣味は最近はタイピングですね	速くなりましたか？
速くなりましたか？	すごく微妙に速くなりましたね。お得意ですか？
すごく微妙に速くなりましたね。お得意ですか？	そこまで得意ではないですけど、上手く速く打てると気持ち良いですよね。
そこまで得意ではないですけど、上手く速く打てると気持ち良いですよね。	ですよねー。憧れのカフェでタタタターンに向けて頑張ります
ですよねー。憧れのカフェでタタタターンに向けて頑張ります	今までずっとWindowsでしたが、Macが気になります。あのキーボードの薄さが良さそうです。
今までずっとWindowsでしたが、Macが気になります。あのキーボードの薄さが良さそうです。	一説によるとめちゃくちゃ打ちにくいらしいですよ。私も実は気になってました
一説によるとめちゃくちゃ打ちにくいらしいですよ。私も実は気になってました	そうなんですね、スマホもiPhoneが使いやすくてパソコンも使いやすいかなと思っています。
そうなんですね、スマホもiPhoneが使いやすくてパソコンも使いやすいかなと思っています。	私も最近iPhoneに変えたところで、同じ理由です。すごい！
私も最近iPhoneに変えたところで、同じ理由です。すごい！	最近何か欲しいものはありますか？
最近何か欲しいものはありますか？	マックブックプロが欲しいです
マックブックプロが欲しいです	同じですね。
よろしくお願いします。	よろしくおねがいします。最近めっきり寒くなりましたね。
よろしくおねがいします。最近めっきり寒くなりましたね。	そうですよね、冬は得意ですか？
そうですよね、冬は得意ですか？	寒いのは得意ではないですが、冬は嫌いじゃないですね。
寒いのは得意ではないですが、冬は嫌いじゃないですね。	ピリッとした空気が気持ち良いですよね。
ピリッとした空気が気持ち良いですよね。	そうですね。肌が乾燥するのは困りますけど。
そうですね。肌が乾燥するのは困りますけど。	乾燥肌ですか？
乾燥肌ですか？	はい。保湿クリームで対応しています。
はい。保湿クリームで対応しています。	私も肌がカサカサします。本日の予定は何かありますか？
私も肌がカサカサします。本日の予定は何かありますか？	特にないですね。雨が降っているので、家でたまっているアニメでも見ます。
特にないですね。雨が降っているので、家でたまっているアニメでも見ます。	アニメお好きなんですか？
アニメお好きなんですか？	まあ暇つぶし程度には見ますね。アニメとか見ますか？
まあ暇つぶし程度には見ますね。アニメとか見ますか？	私はミーハーなのでエヴァンゲリオンやまどかマギカは見てました。
私はミーハーなのでエヴァンゲリオンやまどかマギカは見てました。	おー。エヴァは見たことがありますが、まどかマギカは見たことないですね。面白いですか？
おー。エヴァは見たことがありますが、まどかマギカは見たことないですね。面白いですか？	面白いですね、最初は絵柄に入っていけない方もいると思いますが内容がダークで大人でも楽しめました。
面白いですね、最初は絵柄に入っていけない方もいると思いますが内容がダークで大人でも楽しめました。	なるほど。今度レンタルして見てみます。
なるほど。今度レンタルして見てみます。	何かオススメのアニメはありますか？
何かオススメのアニメはありますか？	シュタインズゲートですね。タイムリープものです。
シュタインズゲートですね。タイムリープものです。	面白そうですね、見るのが楽しみです。
よろしくお願いします。	よろしくお願いします。
よろしくお願いします。	晩御飯はもう食べましたか？
晩御飯はもう食べましたか？	まだ食べていません。
まだ食べていません。	何を食べる予定ですか？
何を食べる予定ですか？	お鍋にしようと思っています。
お鍋にしようと思っています。	お鍋が美味しい季節ですね。何鍋ですか？
お鍋が美味しい季節ですね。何鍋ですか？	石狩鍋にするつもりです。
石狩鍋にするつもりです。	美味しそうですね。何か趣味や最近気になっていることはありますか？
美味しそうですね。何か趣味や最近気になっていることはありますか？	趣味は旅行です。
趣味は旅行です。	今年はどこか行きましたか？
今年はどこか行きましたか？	地中海クルーズでイタリア、ギリシャなど何か国か行きました。
地中海クルーズでイタリア、ギリシャなど何か国か行きました。	良いですね、私もミコノス島とか行ってみたいです。
良いですね、私もミコノス島とか行ってみたいです。	ミコノス島は行きました。街並みがとてもきれいでした。
ミコノス島は行きました。街並みがとてもきれいでした。	そうなんですね、長い休暇が欲しいです。
そうなんですね、長い休暇が欲しいです。	長いお休みがないと遠くに旅行に行くのは難しいですよね。
長いお休みがないと遠くに旅行に行くのは難しいですよね。	そうんですよ、一番行きたいのはアイラ島ですね。本場のスコッチを飲みたいです。
そうんですよ、一番行きたいのはアイラ島ですね。本場のスコッチを飲みたいです。	アイラ島はどこの国ですか？
アイラ島はどこの国ですか？	スコットランドです。どこか行きたい場所はありますか？
よろしくお願いします。	こんにちは、よろしくお願いします！
こんにちは、よろしくお願いします！	何か趣味や最近気になっていることはありますか？
何か趣味や最近気になっていることはありますか？	映画を見るのが好きなのですが、古い映画の「シャイニング」の続編が出ると聞いて大変気になっています
映画を見るのが好きなのですが、古い映画の「シャイニング」の続編が出ると聞いて大変気になっています	続編が出るんですね、私もレクター博士好きです。
続編が出るんですね、私もレクター博士好きです。	羊たちの沈黙もいいですね！大好きな映画です！
羊たちの沈黙もいいですね！大好きな映画です！	映画館には行かれる方ですか？
映画館には行かれる方ですか？	昔は休日は映画館に1日中いました。最近はめったに行かないですね。
昔は休日は映画館に1日中いました。最近はめったに行かないですね。	私も行かなくなりましたね。BSのNHKで結構良い映画が放送されているのでそれを観ています。
私も行かなくなりましたね。BSのNHKで結構良い映画が放送されているのでそれを観ています。	私はひかりテレビで見ています
私はひかりテレビで見ています	そういう時代ですよね、レンタルショップとか厳しそうですよね。
そういう時代ですよね、レンタルショップとか厳しそうですよね。	そう感じます。映画館も昔は「3本立て」とかがあって良かったんですけどね。
そう感じます。映画館も昔は「3本立て」とかがあって良かったんですけどね。	一日中楽しめましたよね。
一日中楽しめましたよね。	はい。すごく好きでした。
はい。すごく好きでした。	映画館を出た後の新鮮な感覚も良いものですよね。
映画館を出た後の新鮮な感覚も良いものですよね。	あー、わかります！空気が綺麗な気がしますね！
あー、わかります！空気が綺麗な気がしますね！	映画館も結構良いお値段しますよね。
映画館も結構良いお値段しますよね。	しますねー、なかなか足が向かない理由の１つです
しますねー、なかなか足が向かない理由の１つです	ワンコインで観ればお手軽ですけどね。
よろしくお願いします。	こんにちは。よろしくお願いします。
こんにちは。よろしくお願いします。	何か趣味や気になっている事はありますか？
何か趣味や気になっている事はありますか？	趣味はガーデニングや家庭菜園です。あと、飼い猫を可愛がることですね。
趣味はガーデニングや家庭菜園です。あと、飼い猫を可愛がることですね。	この前コスモスが綺麗でした。この時期に収穫出来るものってありますか？
この前コスモスが綺麗でした。この時期に収穫出来るものってありますか？	今は大根や白菜、ブロッコリーですね。あとはリーフレタスなども種から育ててますよ。
今は大根や白菜、ブロッコリーですね。あとはリーフレタスなども種から育ててますよ。	お鍋の季節ですから、美味しそうですね。
お鍋の季節ですから、美味しそうですね。	そうなんですよ！この前は収穫した大根でおでんにしました。
そうなんですよ！この前は収穫した大根でおでんにしました。	良いですね、私は小さい庭があるのですが雑草が生えていてそのままで、草刈りが大変です。
良いですね、私は小さい庭があるのですが雑草が生えていてそのままで、草刈りが大変です。	草刈り、大変ですよね。何か放っといても勝手に育ってくれるものを植えるといいかもしれませんね。
草刈り、大変ですよね。何か放っといても勝手に育ってくれるものを植えるといいかもしれませんね。	簡単に育つものはありますか？
簡単に育つものはありますか？	野菜だとミョウガとかは簡単ですよ。あとはハーブのミントは恐ろしい勢いで繁茂します。
野菜だとミョウガとかは簡単ですよ。あとはハーブのミントは恐ろしい勢いで繁茂します。	ミョウガ良いですね。竹とミントの繁殖力は凄いと聞いたことがあります。
ミョウガ良いですね。竹とミントの繁殖力は凄いと聞いたことがあります。	竹だと家の方にまで根っこが来ると大変らしいですね。ミョウガは植えっぱなしで毎年食べられますよ。葉っぱも虫もほとんどつきませんし。
竹だと家の方にまで根っこが来ると大変らしいですね。ミョウガは植えっぱなしで毎年食べられますよ。葉っぱも虫もほとんどつきませんし。	虫が付かないのは良いですね、そうめんやサラダに入れて食べたいです。
虫が付かないのは良いですね、そうめんやサラダに入れて食べたいです。	庭にあると便利ですよね。あとはシソとかもあればより楽しいかも。
庭にあると便利ですよね。あとはシソとかもあればより楽しいかも。	簡単に出来るものは買うより、良さそうですね。
簡単に出来るものは買うより、良さそうですね。	そうですね。買うとなると結構しますもんね。
そうですね。買うとなると結構しますもんね。	頑張って草刈りから始めたいと思います。
よろしくお願いします。	よろしくお願いします。そうですね、卵料理は何が好きですか？
よろしくお願いします。そうですね、卵料理は何が好きですか？	オムレツが好きなのですが自宅で調理しても上手く出来ませんね。
オムレツが好きなのですが自宅で調理しても上手く出来ませんね。	中が半熟のとろっとしたやつですか？
中が半熟のとろっとしたやつですか？	そうですね、ただの半熟なら簡単なのですが包んで綺麗にするのが難しいんですよね。
そうですね、ただの半熟なら簡単なのですが包んで綺麗にするのが難しいんですよね。	わかります。見た目をきれいにするの大変ですよね。技がいる。私はおいしい親子丼を作れるようになりたいです。
わかります。見た目をきれいにするの大変ですよね。技がいる。私はおいしい親子丼を作れるようになりたいです。	親子丼美味しいですよね、私は山椒を掛けて食べるのが好きです。
親子丼美味しいですよね、私は山椒を掛けて食べるのが好きです。	山椒大好物です！親子丼にも合うんですね。今度やってみます。
山椒大好物です！親子丼にも合うんですね。今度やってみます。	卵料理がお好きなのですか？
卵料理がお好きなのですか？	いえいえ、なんとなく。テーマを考えねばと思ってない頭を振りしぼりました。はは
いえいえ、なんとなく。テーマを考えねばと思ってない頭を振りしぼりました。はは	私は今中華鍋が欲しいです。テフロン加工のものだとどうしても駄目になってしまうので。
私は今中華鍋が欲しいです。テフロン加工のものだとどうしても駄目になってしまうので。	テフロン加工じゃない中華鍋はケアしないと錆びちゃうんじゃないですか？
テフロン加工じゃない中華鍋はケアしないと錆びちゃうんじゃないですか？	鉄鍋は一度空焚きすると長持ちするらしいですよ。
鉄鍋は一度空焚きすると長持ちするらしいですよ。	たった一回で？そうなんですね。でも中華鍋を購入したいってことは、料理お好きなんですね？
たった一回で？そうなんですね。でも中華鍋を購入したいってことは、料理お好きなんですね？	そうですね、外食はどうしても味が濃い目に作ってあるので健康や財布のためにも。
そうですね、外食はどうしても味が濃い目に作ってあるので健康や財布のためにも。	筋トレにもなりそうですね。あとはガスの火力が強くなれば完璧ですね。
筋トレにもなりそうですね。あとはガスの火力が強くなれば完璧ですね。	得意料理はありますか？
得意料理はありますか？	ささみの塩ゆでよくやりますよ。これが結構奥が深いんですよ。
ささみの塩ゆでよくやりますよ。これが結構奥が深いんですよ。	ささみは低カロリー高たんぱく質で良いですよね。
よろしくお願いします。	朝ごはんは食べましたか？
朝ごはんは食べましたか？	はい、カキフライ弁当を食べました。　朝ごはん食べました？
はい、カキフライ弁当を食べました。　朝ごはん食べました？	紅茶と菓子パンです。朝食べないと力出ませんよね？
紅茶と菓子パンです。朝食べないと力出ませんよね？	出ないです　以前は一日一食でしたが、仕事のミスが多かったです
出ないです　以前は一日一食でしたが、仕事のミスが多かったです	そうですよね、私はカキが好物だったのですが、二度あたってそれ以来食べていません。
そうですよね、私はカキが好物だったのですが、二度あたってそれ以来食べていません。	カキは当たると壮絶なイメージですが、大丈夫でしたか
カキは当たると壮絶なイメージですが、大丈夫でしたか	かなり辛いですよ。上からも下からもです。お身体は健康ですか？
かなり辛いですよ。上からも下からもです。お身体は健康ですか？	以前は病気をしていましたが、今は健康です。でも年のせいか体力と物覚えの低下が。カキは一回当たるともう苦手になる方多いですよね
以前は病気をしていましたが、今は健康です。でも年のせいか体力と物覚えの低下が。カキは一回当たるともう苦手になる方多いですよね	そうなんですよね、カキフライや蒸しカキを失うというのは人生にかなりの損失です。何か苦手な食べ物はありますか？
そうなんですよね、カキフライや蒸しカキを失うというのは人生にかなりの損失です。何か苦手な食べ物はありますか？	本当美味しいですもんね。苦手なものはありませんが、できる限り太りそうな食材は避けています　苦手なものありますか
本当美味しいですもんね。苦手なものはありませんが、できる限り太りそうな食材は避けています　苦手なものありますか	私もほとんどありませんが、レバーが苦手です。あの独特の食感や風味が。
私もほとんどありませんが、レバーが苦手です。あの独特の食感や風味が。	なんとなくわかります　言われてみれば私も好んでは食べないです。モソモソしていますよね
なんとなくわかります　言われてみれば私も好んでは食べないです。モソモソしていますよね	以前はあまり食べませんでしたが、最近ホルモンが好きになりました。
以前はあまり食べませんでしたが、最近ホルモンが好きになりました。	ホルモン！　私もホルモン大好きです　若いときは苦手でしたが、今大好きです、チューハイとの組み合わせがたまりません
ホルモン！　私もホルモン大好きです　若いときは苦手でしたが、今大好きです、チューハイとの組み合わせがたまりません	良いですね、チューハイはモツ煮込みとも合いますよね。
良いですね、チューハイはモツ煮込みとも合いますよね。	合いますよ、私は一人酒ですが悲しく。最近のコンビニのモツ煮込み袋入りのも美味しいです。
合いますよ、私は一人酒ですが悲しく。最近のコンビニのモツ煮込み袋入りのも美味しいです。	ローソンのでしたら食べたことあります。お酒はお好きなんですか？
よろしくお願いします。	こちらこそよろしくお願いします。
こちらこそよろしくお願いします。	寒くなってきましたね、冬は得意ですか？
寒くなってきましたね、冬は得意ですか？	夏よりは冬のほうが好きです。
夏よりは冬のほうが好きです。	冬は防寒で何んとかなりますが、夏は無理ですよね。
冬は防寒で何んとかなりますが、夏は無理ですよね。	あとは虫とか、カビとか
あとは虫とか、カビとか	寒いと活動も止まりますよね。お昼ご飯はもう済まされましたか？
寒いと活動も止まりますよね。お昼ご飯はもう済まされましたか？	はい、嫁が作った弁当でした。
はい、嫁が作った弁当でした。	奥さんは料理が得意ですか？
奥さんは料理が得意ですか？	このところ好きになったようで、夕食も私の代わりに作るようになりました。
このところ好きになったようで、夕食も私の代わりに作るようになりました。	そうなんですね、ご自身は料理が得意なんですか？
そうなんですね、ご自身は料理が得意なんですか？	どちらかというと好きです。
どちらかというと好きです。	そうなんですね。何か趣味や最近気になっていることはありますか？
そうなんですね。何か趣味や最近気になっていることはありますか？	「桜を見る〇」くらいですかね。
「桜を見る〇」くらいですかね。	一体どうなっていくのでしょうかね。
一体どうなっていくのでしょうかね。	けっこう重症になるかもしれません。
けっこう重症になるかもしれません。	このままだと失脚しかねないですかね？
よろしくお願いします。	こんにちは。今日も寒いですね。
こんにちは。今日も寒いですね。	そうですね、冬は得意ですか？
そうですね、冬は得意ですか？	喉が弱いので乾燥する冬は苦手です。寒いのも苦手で。
喉が弱いので乾燥する冬は苦手です。寒いのも苦手で。	私も冬は口にテープを貼って寝ています。
私も冬は口にテープを貼って寝ています。	同じです！どうしても口を開けて寝ると乾燥しますよね。
同じです！どうしても口を開けて寝ると乾燥しますよね。	起きた時に全然違いますよね。専用のテープを貼っていますか？
起きた時に全然違いますよね。専用のテープを貼っていますか？	いえ、普通の医療用紙テープです。
いえ、普通の医療用紙テープです。	それで十分ですよね。お昼ご飯はもう食べましたか？
それで十分ですよね。お昼ご飯はもう食べましたか？	はい、専用のは高くて。お昼はチャーハンを食べました。
はい、専用のは高くて。お昼はチャーハンを食べました。	自分で作ったんですか？
自分で作ったんですか？	はい、作りました。
はい、作りました。	料理は得意ですか？
料理は得意ですか？	料理するの好きです！あまり手の込んだ物は作っていないですが、野菜がすごく好きなので野菜のおかずが多いです。
料理するの好きです！あまり手の込んだ物は作っていないですが、野菜がすごく好きなので野菜のおかずが多いです。	この時期は鍋が美味しい季節ですよね。
この時期は鍋が美味しい季節ですよね。	お鍋大好きです！温まるし、お野菜もいっぱい食べられるし最高ですね。何鍋が一番好きですか？
お鍋大好きです！温まるし、お野菜もいっぱい食べられるし最高ですね。何鍋が一番好きですか？	私は昆布だしに、ポン酢で食べるシンプルな鍋が好きです。何鍋が好きですか？
私は昆布だしに、ポン酢で食べるシンプルな鍋が好きです。何鍋が好きですか？	私は味噌ベースでちゃんこっぽいお鍋が好きです。
私は味噌ベースでちゃんこっぽいお鍋が好きです。	野菜との相性も良さそうですね。
よろしくお願いします。	よろしくお願いします。最近はまっていることなどありますか？
よろしくお願いします。最近はまっていることなどありますか？	そうですね、私の住んでいる地域は紅葉のシーズンですので見に行きたいと思っています。
そうですね、私の住んでいる地域は紅葉のシーズンですので見に行きたいと思っています。	今週末がピークですよね。私も写真が趣味なので晴れれば出掛ける予定です。
今週末がピークですよね。私も写真が趣味なので晴れれば出掛ける予定です。	私も写真に興味があるのですが、現在の主流は一眼よりミラーレスですか?
私も写真に興味があるのですが、現在の主流は一眼よりミラーレスですか?	私はソニーのミラーレス使っています。軽いので持ち運びが楽ですよ
私はソニーのミラーレス使っています。軽いので持ち運びが楽ですよ	プリントアウトしたりしますか？
プリントアウトしたりしますか？	知り合いに撮影を頼まれた時くらいしかしないですね。
知り合いに撮影を頼まれた時くらいしかしないですね。	写真が趣味だと色々出掛けたくなりますし、いい運動になりますよね。
写真が趣味だと色々出掛けたくなりますし、いい運動になりますよね。	そうですよね。おかげで一年で体重が-10kg減りましたよ。
そうですよね。おかげで一年で体重が-10kg減りましたよ。	凄いですね、今訪れたい場所はありますか？
凄いですね、今訪れたい場所はありますか？	兵庫県の宝塚市にある旧武田尾廃線跡という所です。紅葉がきれいらしいんですよ。
兵庫県の宝塚市にある旧武田尾廃線跡という所です。紅葉がきれいらしいんですよ。	廃線というのはロマンがありますね。山登りとかはしますか？
廃線というのはロマンがありますね。山登りとかはしますか？	がっつり１日掛けてはないですが、日帰りの山登りは好きですよ。
がっつり１日掛けてはないですが、日帰りの山登りは好きですよ。	私も低山ですが、ジムで脚を鍛えるより楽しいので登っています。
私も低山ですが、ジムで脚を鍛えるより楽しいので登っています。	結構、汗をかくので良い運動になりますよね。登ったあとの爽快感も気持ちいいですし。
結構、汗をかくので良い運動になりますよね。登ったあとの爽快感も気持ちいいですし。	そうですね、心肺機能も鍛えれますし今は虫もいないので快適です。
そうですね、心肺機能も鍛えれますし今は虫もいないので快適です。	確かに虫がいないのはうれしいですね。今週末も奈良の方にハイキング予定なので楽しみです。
確かに虫がいないのはうれしいですね。今週末も奈良の方にハイキング予定なので楽しみです。	吉野の方には行ったことないので行ってみたいです。
よろしくお願いします。	お願いします。今日はお仕事ですか？
お願いします。今日はお仕事ですか？	そうですね、晩御飯は何を食べましたか？
そうですね、晩御飯は何を食べましたか？	夜は・・リンゴとみかんとローソンのカプケのティラミスを食べました。
夜は・・リンゴとみかんとローソンのカプケのティラミスを食べました。	甘いものお好きなんですか？
甘いものお好きなんですか？	お菓子が主食なのでご飯食べないんですよ。スイーツ大好きです。
お菓子が主食なのでご飯食べないんですよ。スイーツ大好きです。	コンビニではローソンが美味しいんですか？
コンビニではローソンが美味しいんですか？	ローソンが一番ですね。セブンも一部捨てがたいですか。スイーツお好きですか？
ローソンが一番ですね。セブンも一部捨てがたいですか。スイーツお好きですか？	割と好きですね、ローソンのロールケーキとか
割と好きですね、ローソンのロールケーキとか	プレミアムロールケーキいろんな味がでますね。
プレミアムロールケーキいろんな味がでますね。	そうんなんですか、知らなかったです。一番好きなスイーツはベイクドチーズケーキです。
そうんなんですか、知らなかったです。一番好きなスイーツはベイクドチーズケーキです。	ベイクドチーズケーキはヒキタって店のゴルゴンチーズケーキが最強です。
ベイクドチーズケーキはヒキタって店のゴルゴンチーズケーキが最強です。	濃厚そうですね。
濃厚そうですね。	お取り寄せ可能なのでぜひ。すごく濃いです。
お取り寄せ可能なのでぜひ。すごく濃いです。	それは良い事聞きました。お酒は飲まれますか？
それは良い事聞きました。お酒は飲まれますか？	お酒は飲んだことないです。味がある飲み物が嫌いで。飲まれますか？
お酒は飲んだことないです。味がある飲み物が嫌いで。飲まれますか？	好きですね。スイーツを食べる時は何を飲まれますか？
好きですね。スイーツを食べる時は何を飲まれますか？	水道水です。今日も飲みましたか？
水道水です。今日も飲みましたか？	お風呂上りにビールを飲もうと思います。紅茶も苦手ですか？
よろしくお願いします。	こちらこそ、よろしくお願いします！
こちらこそ、よろしくお願いします！	何か趣味や最近気になっていることはありますか？
何か趣味や最近気になっていることはありますか？	最近はNintendo switchをよくプレイしています。
最近はNintendo switchをよくプレイしています。	どのようなゲームをしているのですか？
どのようなゲームをしているのですか？	今はポケモンを進めているところです。
今はポケモンを進めているところです。	私はドラクエウォークにはまっています。
私はドラクエウォークにはまっています。	少し画面を見た事がある程度ですが、ドラクエもとても面白そうですよね。
少し画面を見た事がある程度ですが、ドラクエもとても面白そうですよね。	ポケモンGOはしないんですか？
ポケモンGOはしないんですか？	以前はしていたんですが、住んでいるところにポケストップが少なくて、今はあまりしなくなってしまいました。
以前はしていたんですが、住んでいるところにポケストップが少なくて、今はあまりしなくなってしまいました。	そうねんですね、動きながらプレイするのって結構疲れますよね。
そうねんですね、動きながらプレイするのって結構疲れますよね。	確かにそうですね、あとスマホが古いせいか位置情報をうまく拾ってくれないことも多くて。
確かにそうですね、あとスマホが古いせいか位置情報をうまく拾ってくれないことも多くて。	新しいスマホの購入予定はありますか？
新しいスマホの購入予定はありますか？	そろそろかなとは思うのですが、まだ今のままでいける！という気持ちがせめぎあっていますね。
そろそろかなとは思うのですが、まだ今のままでいける！という気持ちがせめぎあっていますね。	スマホに何万円も使うのも躊躇しますよね。
スマホに何万円も使うのも躊躇しますよね。	そうなんですよね。分割にしても毎月それなりに持っていかれるので、迷います。
そうなんですよね。分割にしても毎月それなりに持っていかれるので、迷います。	昼食はもう済まされましたか？
昼食はもう済まされましたか？	先程、適当にお茶漬けで済ませました。あなたは何を食べましたか？
先程、適当にお茶漬けで済ませました。あなたは何を食べましたか？	わたしはうどんを食べました。温かいものが美味しい季節になりましたね。
よろしくお願いいたします。	こちらこそよろしくお願いいたします。
こちらこそよろしくお願いいたします。	最近何かハマっていることや、趣味など何かありますか？
最近何かハマっていることや、趣味など何かありますか？	ハマっているのは、朝ドラです。趣味は音楽を聴くことです。
ハマっているのは、朝ドラです。趣味は音楽を聴くことです。	朝ドラいいですね、私は見てないんですが面白いんですか？
朝ドラいいですね、私は見てないんですが面白いんですか？	面白いです。特に笑えます。会話が漫才みたいな時があります。大阪制作のドラマしいです。
面白いです。特に笑えます。会話が漫才みたいな時があります。大阪制作のドラマしいです。	そうなんですか、コメディタッチのドラマが好きなのでちょっと気になります。音楽はどんなジャンルがお好きなんですか？
そうなんですか、コメディタッチのドラマが好きなのでちょっと気になります。音楽はどんなジャンルがお好きなんですか？	う～ん、けっこうバラバラというか。学生の時は洋楽ロック一本だったんですが。だんだん邦楽も聴くようになって。でも古いのばかりで。最近のはあんまり。私的に新しいところでは、ゲスの極み乙女です。
う～ん、けっこうバラバラというか。学生の時は洋楽ロック一本だったんですが。だんだん邦楽も聴くようになって。でも古いのばかりで。最近のはあんまり。私的に新しいところでは、ゲスの極み乙女です。	音楽の好みも色々変わったりしますよね、私も学生の時は洋楽聞いたりしましたが、最近のは殆どわからず。でも良さそうなのがあればあまりジャンル問わず聞いてみるようにはしてます。
音楽の好みも色々変わったりしますよね、私も学生の時は洋楽聞いたりしましたが、最近のは殆どわからず。でも良さそうなのがあればあまりジャンル問わず聞いてみるようにはしてます。	なるほど。どうやって開拓するんですか？
なるほど。どうやって開拓するんですか？	人にオススメされたものを聞いたり、何かで使われてて気になった曲があれば聞いてみたりって感じですかね。と言っても私もあまり音楽に詳しいわけではないんですが。
人にオススメされたものを聞いたり、何かで使われてて気になった曲があれば聞いてみたりって感じですかね。と言っても私もあまり音楽に詳しいわけではないんですが。	なるほど。実際、今のポピュラーのヒット曲ってタイアップしかないですもんね。角松敏生氏も指摘してましたが。
なるほど。実際、今のポピュラーのヒット曲ってタイアップしかないですもんね。角松敏生氏も指摘してましたが。	そうですね、新しいアーティストを開拓したりはあまりされないんですか？
そうですね、新しいアーティストを開拓したりはあまりされないんですか？	そうですねー、なんか今の人にはついて行けないというか。ミュージックステーションとかでも知らない出演者が多いです。
そうですねー、なんか今の人にはついて行けないというか。ミュージックステーションとかでも知らない出演者が多いです。	あ、なんかそれはわかります。学生の頃はカラオケとか行ってたので最新の曲を色々チェックしてましたが、今は知らない人の方が多くなってきて年齢を感じてしまいますね。
あ、なんかそれはわかります。学生の頃はカラオケとか行ってたので最新の曲を色々チェックしてましたが、今は知らない人の方が多くなってきて年齢を感じてしまいますね。	そうですかー。カラオケといえば、一人で行かれたりしますか？
そうですかー。カラオケといえば、一人で行かれたりしますか？	さすがに一人カラオケはなかなか行く勇気がなくて。行ったことがないです。一人で行かれるんですか？
さすがに一人カラオケはなかなか行く勇気がなくて。行ったことがないです。一人で行かれるんですか？	いえいえ。高校の時の同級生が、一人で行って、40曲ぐらい歌って気持ちよかったってFacebookに投稿してたので、どうなのかなと思いまして。
いえいえ。高校の時の同級生が、一人で行って、40曲ぐらい歌って気持ちよかったってFacebookに投稿してたので、どうなのかなと思いまして。	一人で40曲ですか！アーティストライブ並ですね！！でも確かにストレス発散にはなりそうですよね。
こちらこそよろしくお願いいたします！	最近寒くなってきてますね。
最近寒くなってきてますね。	そうですね、朝晩の冷え込みが辛くなってきました。私は今東北地方に住んでいますがどのあたりにお住まいですか？
そうですね、朝晩の冷え込みが辛くなってきました。私は今東北地方に住んでいますがどのあたりにお住まいですか？	今は海外の北米地域に住んでます。ですが以前は南東北に住んでました！
今は海外の北米地域に住んでます。ですが以前は南東北に住んでました！	海外在住ですか！私もむかーしアメリカに住んでいました。そして今南東北在住です。
海外在住ですか！私もむかーしアメリカに住んでいました。そして今南東北在住です。	入れ違いですねえ。東北の冬は寒くて苦手なんです。
入れ違いですねえ。東北の冬は寒くて苦手なんです。	ほんと、真逆ですね。でも北米にお住まいとはいいですね。東北の冬は長くて私も辛いです。
ほんと、真逆ですね。でも北米にお住まいとはいいですね。東北の冬は長くて私も辛いです。	私はアメリカではなくてメキシコなんです。日本みたいにジメッとしてなくて快適ですね。東北の冬は確かに長いですね。
私はアメリカではなくてメキシコなんです。日本みたいにジメッとしてなくて快適ですね。東北の冬は確かに長いですね。	メキシコですか！！それは暖かそうな地域ですね。今気温はどのくらいなんですか？
メキシコですか！！それは暖かそうな地域ですね。今気温はどのくらいなんですか？	朝は10度を下回ることもあります。昼間は20度近くまで上がります。日差しが強いんです。そちらは今どれくらいの気温ですか？
朝は10度を下回ることもあります。昼間は20度近くまで上がります。日差しが強いんです。そちらは今どれくらいの気温ですか？	意外と涼しいんですね！それでもこの時期20度近くあるのは羨ましいです。こちらは最近ぐんと下がってきて今日は最高で10度くらいですかね。
意外と涼しいんですね！それでもこの時期20度近くあるのは羨ましいです。こちらは最近ぐんと下がってきて今日は最高で10度くらいですかね。	最高で10度は寒いですね！そろそろストーブとこたつが必要そうですね。
最高で10度は寒いですね！そろそろストーブとこたつが必要そうですね。	はい、もう暖房がないと寒くてダメです。それでも気温差が激しくて日曜あたりは最高18度の予報になってたり。そちらは暖房はまだまだ要らないですかね？
はい、もう暖房がないと寒くてダメです。それでも気温差が激しくて日曜あたりは最高18度の予報になってたり。そちらは暖房はまだまだ要らないですかね？	暖房はまだつけなくても大丈夫ですね。ただ、家が広くて通気性が良過ぎるので、ヒーターの前から動けなくなってしまうんです。
暖房はまだつけなくても大丈夫ですね。ただ、家が広くて通気性が良過ぎるので、ヒーターの前から動けなくなってしまうんです。	なるほど。確かに東北とか寒い地域の家の方が冬の家の中は暖かいですよね。暖かい地域の家は冬寒いイメージあります。
なるほど。確かに東北とか寒い地域の家の方が冬の家の中は暖かいですよね。暖かい地域の家は冬寒いイメージあります。	東北の家の中は暖かいですよね。冬なのに薄着でいられるくらいでした。
東北の家の中は暖かいですよね。冬なのに薄着でいられるくらいでした。	ホントそうです、うちも床暖が入っているので家の中では半袖とかで居られます。でも沖縄の親戚の家に冬行くと寒くて寒くて。
ホントそうです、うちも床暖が入っているので家の中では半袖とかで居られます。でも沖縄の親戚の家に冬行くと寒くて寒くて。	沖縄ですか！暖かそうですが、冬の家の中はそうでもないんですね？
沖縄ですか！暖かそうですが、冬の家の中はそうでもないんですね？	そうですね、やっぱり台風とか夏の風通しとかには対応できるように造られてるんですが冬はエアコンくらいしかないので寒いんですよね。
よろしくお願いいたします！	どこか旅行に行こうという計画はありますか？
